case_name,seed_count,method,mean_final_hv,std_final_hv,mean_normalized_final_hv,std_normalized_final_hv,mean_auc_hv,std_auc_hv,mean_normalized_auc_hv,std_normalized_auc_hv,mean_archive_size,mean_direction_coverage,mean_runtime,win_rate_vs_nsga2,win_rate_vs_moead,win_rate_vs_classical_seeded_ea,win_rate_vs_fixed_qaoa,users,channels,feasible_space_size,budget,conflict_level
balanced_objectives_8x3,3,AI-Adaptive Pareto-QAOA,1.0267226160190224,0.02275808831810795,0.989816506740908,0.010272630998222123,0.9115243274587126,0.02025256981383696,0.8788094583231274,0.01334138067875403,25.666666666666668,0.5,2.809211174647013,1.0,1.0,0.0,0.3333333333333333,8,3,6561,300,medium
balanced_objectives_8x3,3,Classical-Seeded Evolutionary MOO,0.9598789993129957,0.019059285500211,0.9254573886547394,0.012747003677820662,0.9343490928954736,0.011366132973536886,0.9012172888994957,0.02497545284595884,14.0,0.5666666666666667,0.10713036855061842,1.0,1.0,0.0,0.6666666666666666,8,3,6561,300,medium
balanced_objectives_8x3,3,Fixed Pareto-QAOA,1.0324245559352987,0.03401928556161323,0.9949711252228153,0.002901997215132787,0.9231184256130915,0.03982200627891968,0.8894294439645346,0.016694687872840754,26.0,0.5333333333333333,2.8386013507843018,1.0,1.0,0.3333333333333333,0.0,8,3,6561,300,medium
balanced_objectives_8x3,3,MOEA/D-style,0.8865895268502494,0.03301717092975213,0.8562764492712459,0.05749618294355229,0.7419835650469374,0.03719690689112305,0.7169212133699014,0.05741755598082638,12.0,0.5333333333333333,0.533332904179891,0.6666666666666666,0.0,0.0,0.0,8,3,6561,300,medium
balanced_objectives_8x3,3,NSGA-II-style,0.8744201147502378,0.053377891984509505,0.8419575894233646,0.024720067784112513,0.7514626295516861,0.043566265847404355,0.7237820720753082,0.02482064810111263,12.666666666666666,0.3666666666666667,0.9582610130310059,0.0,0.3333333333333333,0.0,0.0,8,3,6561,300,medium
balanced_objectives_8x3,3,Quantum-Seeded Evolutionary MOO,1.0338604217809626,0.034218804011490675,0.9963473438524076,0.000563962619173515,1.0165804876913054,0.03408388949278409,0.979683466617352,0.0028931983402042034,29.0,0.5666666666666667,0.1706792513529459,1.0,1.0,1.0,1.0,8,3,6561,300,medium
balanced_objectives_8x3,3,Random,0.8772988251599044,0.050435681335965835,0.8448141732051392,0.02082641322448961,0.7493990285755139,0.03594413207281521,0.7219211981003456,0.014041227007722352,14.0,0.43333333333333335,0.1396679878234863,0.6666666666666666,0.3333333333333333,0.0,0.0,8,3,6561,300,medium
channel_rich_7x4,5,AI-Adaptive Pareto-QAOA,1.0128425987033682,0.01994641791900566,0.9942548529854184,0.004399479509126974,0.923358302087211,0.01748121147112779,0.9064335728486587,0.005317007970020333,27.0,0.6,3.6693837642669678,1.0,1.0,0.8,0.6,7,4,16384,500,high
channel_rich_7x4,5,Classical-Seeded Evolutionary MOO,0.933379522999289,0.05397929222367238,0.9156238560981187,0.03697803839747678,0.8906069755717979,0.05620658965374943,0.8738382208164875,0.044852537161170776,20.6,0.56,0.2166370868682861,1.0,0.8,0.0,0.2,7,4,16384,500,high
channel_rich_7x4,5,Fixed Pareto-QAOA,1.0118000999126686,0.020031811633490944,0.9932364757618671,0.005785596480101792,0.9263412050380548,0.02543933122707514,0.909264004373823,0.013424320770381502,27.2,0.58,3.6191877841949465,1.0,1.0,0.8,0.0,7,4,16384,500,high
